doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
vinuni-hoc-bong-dau-vao,data/hoc-bong/vinuni-hoc-bong-dau-vao.md,Học bổng đầu vào bậc cử nhân VinUni,https://admissions.vinuni.edu.vn/vi/hoc-bong-va-ho-tro-tai-chinh/cu-nhan/hoc-bong/,2026-09-19,not-stated,public-source
vinuni-chuong-trinh-hoc-bong-2026-2027,data/hoc-bong/vinuni-chuong-trinh-hoc-bong-2026-2027.md,Chương trình học bổng VinUni năm học 2026-2027,https://admissions.vinuni.edu.vn/vi/vinuni-hoc-bong-nam-hoc-2026-2027/,2026-09-19,not-stated,public-source
vinuni-ho-tro-tai-chinh-tan-sinh-vien,data/hoc-bong/vinuni-ho-tro-tai-chinh-tan-sinh-vien.md,Hỗ trợ tài chính dành cho tân sinh viên (ứng viên mới),https://admissions.vinuni.edu.vn/vi/hoc-bong-va-ho-tro-tai-chinh/cu-nhan/ho-tro-tai-chinh/,2026-09-19,not-stated,public-source
vinuni-ho-tro-tai-chinh-sinh-vien-dang-hoc,data/hoc-bong/vinuni-ho-tro-tai-chinh-sinh-vien-dang-hoc.md,Hỗ trợ tài chính dành cho sinh viên đang học,https://admissions.vinuni.edu.vn/vi/hoc-bong-va-ho-tro-tai-chinh/cu-nhan/ho-tro-tai-chinh/,2026-09-19,not-stated,public-source
vinuni-huong-dan-nop-ho-so-ho-tro-tai-chinh,data/hoc-bong/vinuni-huong-dan-nop-ho-so-ho-tro-tai-chinh.md,Hướng dẫn nộp hồ sơ hỗ trợ tài chính cho tân sinh viên,https://admissions.vinuni.edu.vn/vi/hoc-bong-va-ho-tro-tai-chinh/huong-dan-dang-ki/,2026-09-19,not-stated,public-source
vinuni-khoan-vay-sinh-vien,data/hoc-bong/vinuni-khoan-vay-sinh-vien.md,Chương trình vay vốn sinh viên VinUni,https://admissions.vinuni.edu.vn/vi/hoc-bong-va-ho-tro-tai-chinh/cu-nhan/khoan-vay-sinh-vien/,2026-09-19,not-stated,public-source
vinuni-faq-hoc-phi-hoc-bong-tuyen-sinh,data/hoc-bong/vinuni-faq-hoc-phi-hoc-bong-tuyen-sinh.md,Câu hỏi thường gặp về học phí và học bổng khi tuyển sinh,https://admissions.vinuni.edu.vn/vi/dai-hoc/cau-hoi-thuong-gap/hoc-phi-hoc-bong-va-ho-tro-tai-chinh/,2026-09-19,not-stated,public-source
vinuni-faq-duy-tri-hoc-bong,data/hoc-bong/vinuni-faq-duy-tri-hoc-bong.md,Câu hỏi thường gặp về duy trì và nâng mức học bổng khi đang học,https://admissions.vinuni.edu.vn/vi/dai-hoc/cau-hoi-thuong-gap/hoc-phi-hoc-bong-va-ho-tro-tai-chinh/,2026-09-19,not-stated,public-source
vinuni-quy-dinh-duy-tri-hoc-bong,data/hoc-bong/vinuni-quy-dinh-duy-tri-hoc-bong.md,Quy định duy trì học bổng đầu vào và hỗ trợ tài chính,https://policy.vinuni.edu.vn/wp-content/uploads/2025/09/GDL-SAM-004-V2.1_Tieu-chi-duy-tri-Hoc-bong-dau-vao-va-Ho-tro-tai-chinh_4.9.2025.pdf,2026-09-19,GDL-SAM-004-V2.1 (2025-09-04),public-source
